Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120037.2,177.7,-1.85,-23.14,1.61,-8.28,4.6,0.354,-0.029,0.8284,32.02818432,118.8562283,28.65,-0.007,0.927,-0.085,0.927,21,18,41,2,2*6C,
$GPCHC,2125,120037.4,177.14,2.86,-13.09,-6.42,-6.21,4.82,0.2504,0.0552,1.0769,32.02818593,118.8562283,28.66,-0.044,0.889,0.083,0.89,21,18,41,2,2*60,
$GPCHC,2125,120037.6,177.14,0.25,-5.52,0.85,-14.18,3.89,0.1392,0.0063,1.4404,32.02818749,118.8562282,28.65,-0.105,0.825,-0.007,0.832,21,18,41,1,2*63,
$GPCHC,2125,120037.8,176.6,5.65,-7.39,-2.84,-2.58,5.69,0.1822,0.1401,1.405,32.02818905,118.8562282,28.65,-0.057,0.872,-0.033,0.874,21,18,41,2,2*73,
$GPCHC,2125,120038,176.6,1.84,-6.4,-5.33,4.38,2.56,0.1132,0.0326,1.0087,32.02819063,118.856228,28.66,-0.034,0.895,0.116,0.896,21,18,41,2,2*78,
$GPCHC,2125,120038.2,175.53,0.63,-11.94,2.14,-10.18,6.32,0.1582,0.0084,0.7481,32.0281921,118.8562278,28.63,-0.082,0.851,0.018,0.855,21,18,41,1,2*78,
$GPCHC,2125,120038.4,174.8,5.04,-29.33,0.05,-6.23,5.31,0.4543,0.0818,0.8087,32.02819363,118.8562277,28.62,-0.033,0.854,0.023,0.855,21,17,41,1,2*44,
$GPCHC,2125,120038.6,174.8,-4.06,0.68,-0.46,-31.63,2.01,-0.0123,-0.0728,1.0258,32.02819519,118.8562275,28.61,-0.078,0.875,0.024,0.878,21,17,41,1,2*61,
$GPCHC,2125,120038.8,173.39,0.23,13.61,3.88,-6.49,6.08,-0.2476,0.0041,1.0223,32.02819671,118.8562273,28.63,-0.116,0.845,0.058,0.853,21,17,41,1,2*4F,
$GPCHC,2125,120039,173.06,2.7,5.92,-2.58,-2.27,4.83,-0.1025,0.0469,0.9881,32.02819824,118.8562271,28.62,-0.076,0.898,-0.043,0.901,21,17,41,1,2*77,
$GPCHC,2125,120039.6,171.76,3.58,1.94,3.78,-17.07,3.94,-0.0233,0.043,0.6859,32.02820284,118.8562262,28.62,-0.184,0.835,0.014,0.855,22,17,41,1,2*4F,
$GPCHC,2125,120039.8,169.84,1.65,13.26,-1.73,-25.49,3.1,-0.3078,0.0386,1.3056,32.02820441,118.8562259,28.61,-0.117,0.847,0.018,0.855,22,17,41,2,2*57,
$GPCHC,2125,120040,169.03,1.7,13.74,1.66,-15.41,-3.61,-0.2323,0.029,0.9499,32.02820598,118.8562255,28.61,-0.19,0.848,-0.022,0.869,22,17,41,1,2*71,
$GPCHC,2125,120040.4,169.66,-0.8,7.18,2.06,17.19,-4.45,-0.1695,-0.0189,1.346,32.02820911,118.8562249,28.6,-0.112,0.867,0.185,0.874,22,18,41,1,2*4E,
$GPCHC,2125,120040.6,170.55,7.49,-0.61,-2.27,11.56,-5.45,0.0199,0.2452,1.8661,32.02821065,118.8562248,28.58,-0.054,0.917,-0.048,0.919,22,18,41,1,2*40,
$GPCHC,2125,120040.8,170.55,3.69,10.89,-1.11,-11.63,-7.11,-0.2285,0.078,1.188,32.02821215,118.8562246,28.58,-0.025,0.834,0.036,0.834,22,18,41,2,2*74,
$GPCHC,2125,120041,171.42,4.15,19.33,3.82,-5.51,-10.57,-0.4457,0.0977,1.2709,32.0282137,118.8562245,28.57,-0.041,0.879,-0.059,0.88,22,18,41,1,2*71,
$GPCHC,2125,120041.2,174.2,1.89,12.94,4.8,4.59,-2.82,-0.2712,0.04,1.1801,32.02821523,118.8562245,28.57,0.008,0.881,-0.046,0.881,22,18,41,1,2*4A,
$GPCHC,2125,120041.4,174.2,0.58,14.62,-2.03,-4.05,-1.65,-0.3374,0.0136,1.2933,32.02821681,118.8562244,28.56,-0.07,0.87,-0.097,0.872,22,18,41,1,2*60,
$GPCHC,2125,120041.6,174.55,1.09,14.94,-3.29,-5.95,-0.51,-0.3592,0.0266,1.3463,32.02821843,118.8562242,28.55,-0.052,0.905,-0.032,0.907,22,18,41,1,2*65,
$GPCHC,2125,120041.8,174.55,-2.13,10.59,0.69,-7.87,0.34,-0.2669,-0.054,1.4271,32.02822001,118.8562241,28.55,-0.042,0.888,-0.115,0.889,22,18,41,1,2*6A,
$GPCHC,2125,120042,174.64,-3.59,9.49,-3.34,-9,0.21,-0.2361,-0.0899,1.4128,32.02822162,118.856224,28.55,-0.059,0.903,-0.025,0.905,22,18,41,1,2*73,
$GPCHC,2125,120042.2,175.08,2.66,17.34,-3.32,-7.56,-0.44,-0.4739,0.0738,1.5181,32.02822322,118.8562239,28.55,-0.042,0.85,0.057,0.852,22,18,41,1,2*42,
$GPCHC,2125,120042.4,175.35,-1.38,6.16,4.95,8.25,-1.76,-0.1474,-0.0332,1.3665,32.02822484,118.8562237,28.54,-0.063,0.887,-0.091,0.89,22,18,41,1,2*59,
